ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,36468,2,MIDCPNIFTY,MIDCPNIFTY2450610525CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036468,877.15,213.15,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,10525,3
NSEFO,46750,2,MIDCPNIFTY,MIDCPNIFTY24JUN11125CE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046750,524.2,166.1,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,11125,3
NSEFO,48819,2,MIDCPNIFTY,MIDCPNIFTY2451310800CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048819,597.5,51.8,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,10800,3
NSEFO,35704,2,MIDCPNIFTY,MIDCPNIFTY245177700CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800035704,3716.75,3052.75,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,7700,3
NSEFO,51830,2,MIDCPNIFTY,MIDCPNIFTY24MAY7400PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800051830,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,7400,4
NSEFO,48806,2,MIDCPNIFTY,MIDCPNIFTY2451310675PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048806,49.9,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,10675,4
NSEFO,55643,2,MIDCPNIFTY,MIDCPNIFTY24MAY11325PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055643,553.95,122.85,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,11325,4
NSEFO,46886,2,MIDCPNIFTY,MIDCPNIFTY24JUN11575PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046886,781.75,331.55,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,11575,4
NSEFO,46789,2,MIDCPNIFTY,MIDCPNIFTY2451710425PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800046789,20.0,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,10425,4
NSEFO,54516,2,MIDCPNIFTY,MIDCPNIFTY246038000PE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054516,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,8000,4
NSEFO,54724,2,MIDCPNIFTY,MIDCPNIFTY2460311300PE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054724,539.9,139.5,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,11300,4
NSEFO,55752,2,MIDCPNIFTY,MIDCPNIFTY24MAY13300CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055752,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,13300,3
NSEFO,39173,2,MIDCPNIFTY,MIDCPNIFTY24JUL10225PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039173,121.9,29.6,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10225,4
NSEFO,39462,2,MIDCPNIFTY,MIDCPNIFTY24JUL11950CE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039462,254.4,73.5,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,11950,3
NSEFO,54811,2,MIDCPNIFTY,MIDCPNIFTY2460313000CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054811,3.4,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,13000,3
NSEFO,60468,2,MIDCPNIFTY,MIDCPNIFTY24MAY7200PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800060468,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,7200,4
NSEFO,38822,2,MIDCPNIFTY,MIDCPNIFTY24JUL9700CE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100038822,1869.25,1237.55,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,9700,3
NSEFO,46535,2,MIDCPNIFTY,MIDCPNIFTY24JUN10575PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046535,167.25,29.55,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,10575,4
NSEFO,39534,2,MIDCPNIFTY,MIDCPNIFTY24JUL13000CE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039534,49.35,6.65,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,13000,3
NSEFO,37012,2,MIDCPNIFTY,MIDCPNIFTY2450612400CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700037012,3.15,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,12400,3
NSEFO,46760,2,MIDCPNIFTY,MIDCPNIFTY24JUN11175CE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046760,491.0,149.7,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,11175,3
NSEFO,54675,2,MIDCPNIFTY,MIDCPNIFTY2460310750CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054675,725.8,229.8,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,10750,3
NSEFO,54821,2,MIDCPNIFTY,MIDCPNIFTY2460313400CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054821,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,13400,3
